raw_State,raw_District,raw_Date,raw_Year,raw_Month,raw_Avg_rainfall,raw_Agency_name
Himachal Pradesh,Mandi,2018-10-20,2018,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-21,2018,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-24,2018,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-26,2018,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-28,2018,10,0.074922068,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-01,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-15,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-18,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-21,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-27,2018,12,0.000798885,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-07-24,2018,07,11.60020496,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-07-26,2018,07,58.85032573,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-05,2018,08,9.46626415,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-09,2018,08,22.90658678,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-10,2018,08,0.144371776,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-11,2018,08,16.17994451,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-25,2018,08,2.450758496,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-31,2018,08,9.285516492,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-08-29,2018,08,2.651950945,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-01,2018,09,1.198659884,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-04,2018,09,17.14256726,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-05,2018,09,2.093657046,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-16,2018,09,0.141083034,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-17,2018,09,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-22,2018,09,192.3849581,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-25,2018,09,0.308482661,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-09-29,2018,09,0.923550631,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-04,2018,10,0.246269516,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-14,2018,10,0.039531477,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-17,2018,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-22,2018,10,0.004247404,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-25,2018,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-29,2018,10,0.071253856,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-10-30,2018,10,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-04,2018,11,0.367893051,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-05,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-07,2018,11,0.015145522,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-11,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-17,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-23,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-24,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-25,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-27,2018,11,0.416924598,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-28,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-11-29,2018,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-04,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-11,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-12,2018,12,0.335578166,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-15,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-18,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-20,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-24,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-23,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2018-12-25,2018,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-02,2019,01,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-10,2019,01,0.280055681,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-15,2019,01,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-17,2019,01,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-20,2019,01,4.673368844,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-24,2019,01,0.519368243,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-01-26,2019,01,0.501879326,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-08,2019,02,3.329072283,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-09,2019,02,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-11,2019,02,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-13,2019,02,1.076676852,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-16,2019,02,0.001617741,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-19,2019,02,3.762573738,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-22,2019,02,0.859400192,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-02-25,2019,02,0.836558747,NRSC VIC MODEL
