imd_rainfall_mm,imd_rainfall_mm_log1p,rain_intensity_class,cloudburst_flag,landslide_risk
1.7042454481124878,0.9948229262921177,0,0,0
1.7042454481124878,0.9948229262921177,0,0,0
1.7042454481124878,0.9948229262921177,0,0,0
1.7042454481124878,0.9948229262921177,0,0,0
1.7042454481124878,0.9948229262921177,0,0,0
1.7042454481124878,0.9948229262921177,0,0,0
1.7042454481124878,0.9948229262921177,0,0,0
1.7042454481124878,0.9948229262921177,0,0,0
1.7042454481124878,0.9948229262921177,0,0,0
1.7042454481124878,0.9948229262921177,0,0,0
1.7042454481124878,0.9948229262921177,0,0,0
1.7042454481124878,0.9948229262921177,0,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
8.379267692565918,2.238501688815403,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
10.698529243469238,2.4594631282156985,1,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
1.040954351425171,0.7134175177888444,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
0.4488893747329712,0.3707973144840672,0,0,0
